source_sheet,fund_type,source_row,branch_text,row_values
EV. FUND,EVANGELICAL,200,Zone A | Zone A | Zone A | Zone A | Zone A | Zone A | Zone A | Zone A | Zone A | Zone A | Zone A | Zone A,34 | Adeiso | Zone A | 0 | 34.0 | Adeiso | Zone A | 0 | 34.0 | Adeiso | Zone A | 0 | 34.0 | Adeiso | Zone A | 0 | Adeiso | Zone A | 0 | Adeiso | Zone A | 40 | 40.0 | Adeiso | Zone A | 20 | 20 | Adeiso | Zone A | 0 | Adeiso | Zone A | 0 | Adeiso | Zone A | 0 | Adeiso | Zone A | 0 | Adeiso | Zone A | 0
EV. FUND,EVANGELICAL,201,Koforidua | zone A | Koforidua | zone A | Koforidua | zone A | Koforidua | zone A | Koforidua | zone A | Koforidua | zone A | Koforidua | zone A | Koforidua | zone A | Koforidua | zone A | Koforidua | zone A | Koforidua | zone A | Koforidua | zone A,35 | Koforidua | zone A | 59 | 61 | 52 | 172 | 35.0 | Koforidua | zone A | 63 | 54 | 70 | 187 | 35.0 | Koforidua | zone A | 64 | 65 | 57 | 61 | 60 | 307 | 35.0 | Koforidua | zone A | 65 | 51 | 116 | Koforidua | zone A | 70 | 70 | 63 | 65 | 268 | Koforidua | zone A | 73 | 80 | 71 | 224.0 | Koforidua | zone A | 60 | 70 | 61 | 191 | Koforidua | zone A | 0 | Koforidua | zone A | 0 | Koforidua | zone A | 0 | Koforidua | zone A | 0 | Koforidua | zone A | 0
EV. FUND,EVANGELICAL,202,zone A | zone A | zone A | zone A | zone A | zone A | zone A | zone A | zone A | zone A | zone A | zone A,36 | Effiduase | zone A | 84 | 84 | 36.0 | Effiduase | zone A | 60 | 74 | 55 | 189 | 36.0 | Effiduase | zone A | 50 | 50 | 79 | 60 | 239 | 36.0 | Effiduase | zone A | 50 | 57 | 107 | Effiduase | zone A | 60 | 70 | 50 | 180 | Effiduase | zone A | 70 | 50 | 50 | 170.0 | Effiduase | zone A | 0 | Effiduase | zone A | 0 | Effiduase | zone A | 0 | Effiduase | zone A | 0 | Effiduase | zone A | 0 | Effiduase | zone A | 0
EV. FUND,EVANGELICAL,203,zone A | zone A | zone A | zone A | zone A | zone A | zone A | zone A | zone A | zone A | zone A | zone A,37 | Owuram | zone A | 0 | 37.0 | Owuram | zone A | 0 | 37.0 | Owuram | zone A | 0 | 37.0 | Owuram | zone A | 0 | Owuram | zone A | 0 | Owuram | zone A | 0.0 | Owuram | zone A | 0 | Owuram | zone A | 0 | Owuram | zone A | 0 | Owuram | zone A | 0 | Owuram | zone A | 0 | Owuram | zone A | 0
EV. FUND,EVANGELICAL,204,zone A | zone A | zone A | zone A | zone A | zone A | zone A | zone A | zone A | zone A | zone A | zone A,38 | Amanase | zone A | 30 | 29 | 27 | 86 | 38.0 | Amanase | zone A | 20 | 30 | 29 | 79 | 38.0 | Amanase | zone A | 24 | 30 | 30 | 84 | 38.0 | Amanase | zone A | 32 | 35 | 67 | Amanase | zone A | 32 | 25 | 74 | 131 | Amanase | zone A | 24 | 38 | 15 | 77.0 | Amanase | zone A | 33 | 30 | 63 | Amanase | zone A | 0 | Amanase | zone A | 0 | Amanase | zone A | 0 | Amanase | zone A | 0 | Amanase | zone A | 0
EV. FUND,EVANGELICAL,205,zone B | zone B | zone B | zone B | zone B | zone B | zone B | zone B | zone B | zone B | zone B | zone B,39 | Gyamase | zone B | 40 | 18 | 58 | 39.0 | Gyamase | zone B | 15 | 15 | 39.0 | Gyamase | zone B | 10 | 35 | 45 | 39.0 | Gyamase | zone B | 15 | 10 | 25 | Gyamase | zone B | 15 | 25 | 20 | 60 | Gyamase | zone B | 15 | 10 | 25.0 | Gyamase | zone B | 20 | 10 | 30 | Gyamase | zone B | 0 | Gyamase | zone B | 0 | Gyamase | zone B | 0 | Gyamase | zone B | 0 | Gyamase | zone B | 0
EV. FUND,EVANGELICAL,206,zone B | zone B | zone B | zone B | zone B | zone B | zone B | zone B | zone B | zone B | zone B | zone B,40 | Ayirebi | zone B | 0 | 40.0 | Ayirebi | zone B | 0 | 40.0 | Ayirebi | zone B | 0 | 40.0 | Ayirebi | zone B | 0 | Ayirebi | zone B | 0 | Ayirebi | zone B | 0.0 | Ayirebi | zone B | 15 | 15 | Ayirebi | zone B | 0 | Ayirebi | zone B | 0 | Ayirebi | zone B | 0 | Ayirebi | zone B | 0 | Ayirebi | zone B | 0
EV. FUND,EVANGELICAL,207,zone B | zone B | zone B | zone B | zone B | zone B | zone B | zone B | zone B | zone B | zone B | zone B,41 | Anamase | zone B | 0 | 41.0 | Anamase | zone B | 0 | 41.0 | Anamase | zone B | 0 | 41.0 | Anamase | zone B | 0 | Anamase | zone B | 0 | Anamase | zone B | 0.0 | Anamase | zone B | 0 | Anamase | zone B | 0 | Anamase | zone B | 0 | Anamase | zone B | 0 | Anamase | zone B | 0 | Anamase | zone B | 0
EV. FUND,EVANGELICAL,208,zone B | zone B | zone B | zone B | zone B | zone B | zone B | zone B | zone B | zone B | zone B | zone B,42 | Anyinase | zone B | 0 | 42.0 | Anyinase | zone B | 0 | 42.0 | Anyinase | zone B | 0 | 42.0 | Anyinase | zone B | 0 | Anyinase | zone B | 0 | Anyinase | zone B | 0.0 | Anyinase | zone B | 198 | 198 | Anyinase | zone B | 0 | Anyinase | zone B | 0 | Anyinase | zone B | 0 | Anyinase | zone B | 0 | Anyinase | zone B | 0
EV. FUND,EVANGELICAL,209,zone B | zone B | zone B | zone B | zone B | zone B | zone B | zone B | zone B | zone B | zone B | zone B,43 | Akwasiho | zone B | 35 | 50 | 52 | 137 | 43.0 | Akwasiho | zone B | 50 | 52 | 50 | 152 | 43.0 | Akwasiho | zone B | 102 | 102 | 43.0 | Akwasiho | zone B | 102 | 102 | Akwasiho | zone B | 202 | 202 | Akwasiho | zone B | 202 | 202.0 | Akwasiho | zone B | 0 | Akwasiho | zone B | 0 | Akwasiho | zone B | 0 | Akwasiho | zone B | 0 | Akwasiho | zone B | 0 | Akwasiho | zone B | 0
EV. FUND,EVANGELICAL,210,Nkawkaw | zone B | Nkawkaw | zone B | Nkawkaw | zone B | Nkawkaw | zone B | Nkawkaw | zone B | Nkawkaw | zone B | Nkawkaw | zone B | Nkawkaw | zone B | Nkawkaw | zone B | Nkawkaw | zone B | Nkawkaw | zone B | Nkawkaw | zone B,44 | Nkawkaw | zone B | 99 | 148 | 247 | 44.0 | Nkawkaw | zone B | 100 | 100 | 200 | 44.0 | Nkawkaw | zone B | 100 | 100 | 44.0 | Nkawkaw | zone B | 0 | Nkawkaw | zone B | 178 | 178 | Nkawkaw | zone B | 79 | 79.0 | Nkawkaw | zone B | 0 | Nkawkaw | zone B | 0 | Nkawkaw | zone B | 0 | Nkawkaw | zone B | 0 | Nkawkaw | zone B | 0 | Nkawkaw | zone B | 0
EV. FUND,EVANGELICAL,211,zone B | zone B | zone B | zone B | zone B | zone B | zone B | zone B | zone B | zone B | zone B | zone B,45 | Akim Oda | zone B | 0 | 45.0 | Akim Oda | zone B | 198 | 198 | 45.0 | Akim Oda | zone B | 0 | 45.0 | Akim Oda | zone B | 99 | 99 | Akim Oda | zone B | 0 | Akim Oda | zone B | 0.0 | Akim Oda | zone B | 0 | Akim Oda | zone B | 0 | Akim Oda | zone B | 0 | Akim Oda | zone B | 0 | Akim Oda | zone B | 0 | Akim Oda | zone B | 0
EV. FUND,EVANGELICAL,218,Takoradi | Takoradi | Takoradi | Takoradi | Takoradi | Takoradi | Takoradi | Takoradi | Takoradi | Takoradi | Takoradi | Takoradi,50 | Takoradi | 49 | 100 | 149 | 50.0 | Takoradi | 99 | 99 | 50.0 | Takoradi | 76 | 79 | 155 | 50.0 | Takoradi | 0 | Takoradi | 0 | Takoradi | 54 | 60 | 68 | 182.0 | Takoradi | 49 | 69 | 79 | 197 | Takoradi | 0 | Takoradi | 0 | Takoradi | 0 | Takoradi | 0 | Takoradi | 0
EV. FUND,EVANGELICAL,222,Sowutuom- H/Q | Sowutuom- H/Q | Sowutuom- H/Q | Sowutuom- H/Q | Sowutuom- H/Q | Sowutuom- H/Q | Sowutuom- H/Q | Sowutuom- H/Q | Sowutuom- H/Q | Sowutuom- H/Q | Sowutuom- H/Q | Sowutuom- H/Q,54 | Sowutuom- H/Q | 380 | 530 | 910 | 54.0 | Sowutuom- H/Q | 647 | 371 | 393 | 1411 | 54.0 | Sowutuom- H/Q | 352 | 439 | 296 | 1087 | 54.0 | Sowutuom- H/Q | 340 | 569 | 909 | Sowutuom- H/Q | 313 | 475 | 460 | 417 | 1665 | Sowutuom- H/Q | 374 | 374.0 | Sowutuom- H/Q | 440 | 574 | 1014 | Sowutuom- H/Q | 0 | Sowutuom- H/Q | 0 | Sowutuom- H/Q | 0 | Sowutuom- H/Q | 0 | Sowutuom- H/Q | 0
EV. FUND,EVANGELICAL,224,GT. Accra zone 1 | GT. Accra zone 1 | GT. Accra zone 1 | GT. Accra zone 1 | GT. Accra zone 1 | GT. Accra zone 1 | GT. Accra zone 1 | GT. Accra zone 1 | GT. Accra zone 1 | GT. Accra zone 1 | GT. Accra zone 1 | GT. Accra zone 1,GT. Accra zone 1 | 0 | GT. Accra zone 1 | 200 | 200 | GT. Accra zone 1 | 0 | GT. Accra zone 1 | 0 | GT. Accra zone 1 | 0 | GT. Accra zone 1 | 0.0 | GT. Accra zone 1 | 0 | GT. Accra zone 1 | 0 | GT. Accra zone 1 | 0 | GT. Accra zone 1 | 0 | GT. Accra zone 1 | 0 | GT. Accra zone 1 | 0
EV. FUND,EVANGELICAL,225,GT. Accra zone 2 | GT. Accra zone 2 | GT. Accra zone 2 | GT. Accra zone 2 | GT. Accra zone 2 | GT. Accra zone 2 | GT. Accra zone 2 | GT. Accra zone 2 | GT. Accra zone 2 | GT. Accra zone 2 | GT. Accra zone 2 | GT. Accra zone 2,GT. Accra zone 2 | 0 | GT. Accra zone 2 | 0 | GT. Accra zone 2 | 0 | GT. Accra zone 2 | 0 | GT. Accra zone 2 | 0 | GT. Accra zone 2 | 230 | 230.0 | GT. Accra zone 2 | 0 | GT. Accra zone 2 | 0 | GT. Accra zone 2 | 0 | GT. Accra zone 2 | 0 | GT. Accra zone 2 | 0 | GT. Accra zone 2 | 0
EV. FUND,EVANGELICAL,226,Eastern zone A | Eastern zone A | Eastern zone A | Eastern zone A | Eastern zone A | Eastern zone A | Eastern zone A | Eastern zone A | Eastern zone A | Eastern zone A | Eastern zone A | Eastern zone A,Eastern zone A | 0 | Eastern zone A | 0 | Eastern zone A | 0 | Eastern zone A | 0 | Eastern zone A | 0 | Eastern zone A | 0.0 | Eastern zone A | 0 | Eastern zone A | 0 | Eastern zone A | 0 | Eastern zone A | 0 | Eastern zone A | 0 | Eastern zone A | 0
EV. FUND,EVANGELICAL,227,Eastern zone B | Eastern zone B | Eastern zone B | Eastern zone B | Eastern zone B | Eastern zone B | Eastern zone B | Eastern zone B | Eastern zone B | Eastern zone B | Eastern zone B | Eastern zone B,Eastern zone B | 0 | Eastern zone B | 0 | Eastern zone B | 0 | Eastern zone B | 0 | Eastern zone B | 0 | Eastern zone B | 0.0 | Eastern zone B | 0 | Eastern zone B | 0 | Eastern zone B | 0 | Eastern zone B | 0 | Eastern zone B | 0 | Eastern zone B | 0
